"socialdna_feedstory_desc_poll";"Creating a Poll"
"socialdna_feedstory_desc_quiz";"Creating a Quiz"
"socialdna_feedstory_desc_music_song";"Uploading a song"
"socialdna_feedstory_desc_music_playlist";"Creating a music playlist"
"socialdna_feedstory_desc_classified";"Creating a Classified Listing"
"socialdna_feedstory_desc_user_joined";"Signing up"
"socialdna_feedstory_desc_bulletin";"Posting a Bulletin Entry"
"socialdna_feedstory_desc_forum";"Creating a Forum Topic"
"socialdna_feedstory_desc_forum_reply";"Posting a forum reply"
"socialdna_feedstory_desc_user_photo";"Updating profile photo"
"socialdna_feedstory_desc_photo_album";"Uploading Photos to Album"
"socialdna_feedstory_desc_pollvoteadd";"Voting for a Poll"
"socialdna_feedstory_desc_post_self";"Posting an activity"

"socialdna_openid_welcome_email_subject";"Welcome to %s"
"socialdna_openid_welcome_email_content";"Thanks for joining our community!"



"socialdna_admin_enter_service_parameters";"Please enter service parameters that you have received after creating appropriate application. For instructions, see the Help Tab."
"socialdna_admin_service_settings_title";"Service Settings"


"SOCIALDNA_ADMIN_STATS_DESC"; ""

"socialdna_signup_using";"Or Signup Using"
"socialdna_login_using";"Or Login Using"


"%s friend found.";"%s friend found.";"%s friends found."
"You have %s Facebook friend that is already here"; "You have %s Facebook friend that is already here"; "You have %s Facebook friends that are already here"
