id,bg_year_id,bg_make_id,bg_model_id,bg_submodel_id,,,,
565,44,29,,,,,,
566,44,4,16,,,,,
567,44,18,,,,,,
568,44,35,,,,,,
569,44,,,,,,,
570,45,,,,,,,
571,45,,,,,,,
572,45,19,,,,,,
573,45,11,54,,,,,
574,45,11,54,,,,,
575,45,11,54,,,,,
576,45,,,,,,,
577,45,29,126,,,,,
578,45,35,195,,,,,
579,45,37,,,,,,
580,45,,,,,,,
581,45,49,,,,,,
582,45,17,,,,,,
583,45,52,,,,,,
584,45,64,,,,,,
585,45,5,,,,,,
586,45,,,,,,,
587,45,,,,,,,
588,45,3,,,,,,
589,45,3,,,,,,
590,45,,,,,,,
591,45,,,,,,,
592,45,,,,,,,
593,45,,,,,,,
594,45,42,,,,,,
595,45,15,,,,,,
596,45,,,,,,,
597,45,50,,,,,,
598,45,,,,,,,
599,45,2,,,,,,
600,45,2,,,,,,
601,45,2,,,,,,
602,45,8,,,,,,
603,45,,,,,,,
604,45,,,,,,,
605,45,17,,,,,,
606,45,33,,,,,,
607,45,8,,,,,,
608,45,35,,,,,,
609,45,,,,,,,
610,45,64,,,,,,
611,45,,,,,,,
612,45,18,98,,,,,
613,45,11,,,,,,
614,45,2,,,,,,
615,46,27,118,,,,,
616,46,,,,,,,
617,46,13,,,,,,
618,46,19,,,,,,
619,46,35,,,,,,
620,46,10,,,,,,
621,46,49,,,,,,
622,46,,,,,,,
623,46,,,,,,,
624,46,11,55,,,,,
625,46,37,213,,,,,
626,46,4,12,,,,,
627,46,10,,,,,,
628,46,27,,,,,,
629,46,,,,,,,
630,46,4,16,,,,,
631,46,42,241,,,,,
632,46,35,,,,,,
633,46,18,,,,,,
634,46,4,15,,,,,
635,46,,,,,,,
636,46,17,83,,,,,
637,46,35,195,,,,,
638,46,2,349,,,,,
639,46,,,,,,,
640,46,,,,,,,
641,46,10,,,,,,
642,46,2,,,,,,
643,46,64,,,,,,
644,46,,,,,,,
645,46,,,,,,,
646,46,11,55,,,,,
647,46,,,,,,,
648,46,,,,,,,
649,46,,,,,,,
650,46,18,,,,,,
651,46,64,,,,,,
652,46,,,,,,,
653,46,17,83,,,,,
654,46,33,,,,,,
655,47,8,,,,,,
656,47,2,,,,,,
657,47,11,54,,,,,
658,47,11,54,,,,,
659,47,11,54,,,,,
660,47,2,,,,,,
661,47,3,,,,,,
662,47,8,32,,,,,
663,47,,,,,,,
664,47,3,,,,,,
665,47,3,,,,,,
666,47,,,,,,,
667,47,17,,,,,,
668,47,,,,,,,
669,47,2,,,,,,
670,47,35,195,,,,,
671,47,17,,,,,,
672,47,18,,,,,,
673,47,35,,,,,,
674,47,33,,,,,,
675,47,,,,,,,
676,47,64,,,,,,
677,47,,,,,,,
678,47,37,213,,,,,
679,47,64,,,,,,
680,47,64,,,,,,
681,47,18,,,,,,
682,47,35,,,,,,
683,47,32,,,,,,
684,47,8,,,,,,
685,47,18,,,,,,
686,47,35,195,,,,,
687,48,,,,,,,
688,48,,,,,,,
689,48,4,12,,,,,
690,48,19,,,,,,
691,48,35,195,,,,,
692,48,2,,,,,,
693,48,37,213,,,,,
694,48,11,54,,,,,
695,48,5,,,,,,
696,48,,,,,,,
697,48,35,,,,,,
698,48,,,,,,,
699,48,18,290,,,,,
700,48,30,,,,,,
701,48,2,151,,,,,
702,48,,,,,,,
703,48,49,,,,,,
704,48,50,,,,,,
705,48,34,,,,,,
706,48,8,32,,,,,
707,48,,,,,,,
708,48,12,,,,,,
709,48,31,,,,,,
710,48,29,127,,,,,
711,48,17,83,,,,,
712,48,10,,,,,,
713,48,,,,,,,
714,48,2,349,,,,,
715,48,27,,,,,,
716,48,2,,,,,,
717,48,,,,,,,
718,48,3,,,,,,
719,48,,,,,,,
720,48,13,,,,,,
721,48,10,,,,,,
722,48,2,,,,,,
723,48,52,,,,,,
724,48,,,,,,,
725,48,27,,,,,,
726,48,,,,,,,
727,48,18,290,,,,,
728,48,18,,,,,,
729,48,11,54,,,,,
730,48,11,54,,,,,
731,48,64,,,,,,
732,48,48,,,,,,
733,48,8,,,,,,
734,48,64,,,,,,
735,48,29,126,,,,,
736,25,42,,,,,,
737,25,2,,,,,,
738,25,,,,,,,
739,25,18,290,,,,,
740,25,18,290,,,,,
741,25,35,,,,,,
742,25,3,,,,,,
743,25,,,,,,,
744,25,2,151,,,,,
745,25,2,151,,,,,
746,25,2,151,,,,,
747,25,,,,,,,
748,25,2,151,,,,,
749,25,33,,,,,,
750,25,10,,,,,,
751,25,2,156,3161,,,,
752,25,35,195,3160,,,,
753,25,33,,,,,,
754,25,19,,,,,,
755,25,43,244,,,,,
756,25,43,244,,,,,
757,25,17,,,,,,
758,25,30,,,,,,
759,25,,,,,,,
760,25,,,,,,,
761,25,10,,,,,,
762,25,,,,,,,
763,25,,,,,,,
764,25,11,,,,,,
765,25,8,,,,,,
766,25,,,,,,,
767,25,32,,,,,,
768,25,,,,,,,
769,25,13,,,,,,
770,25,37,212,,,,,
771,25,2,,,,,,
772,25,49,,,,,,
773,25,2,,,,,,
774,25,,,,,,,
775,25,34,,,,,,
776,25,35,,,,,,
777,25,29,126,,,,,
778,25,35,,,,,,
779,25,2,,,,,,
780,25,3,,,,,,
781,25,18,,,,,,
782,25,17,83,,,,,
783,25,52,,,,,,
784,25,19,,,,,,
785,25,8,,,,,,
786,25,64,,,,,,
787,25,2,,,,,,
788,25,11,54,,,,,
789,25,,,,,,,
790,25,,,,,,,
791,25,10,,,,,,
792,25,18,,,,,,
793,49,,,,,,,
794,49,35,,,,,,
795,49,10,,,,,,
796,49,,,,,,,
797,49,17,83,,,,,
798,49,,,,,,,
799,49,10,,,,,,
800,49,43,,,,,,
801,49,4,12,,,,,
802,49,34,,,,,,
803,49,2,349,,,,,
804,49,10,,,,,,
805,49,26,,,,,,
806,49,,,,,,,
807,49,33,,,,,,
808,49,29,132,,,,,
809,49,30,,,,,,
810,49,8,,,,,,
811,49,,,,,,,
812,49,,,,,,,
813,49,10,,,,,,
814,49,48,,,,,,
815,49,18,290,,,,,
816,49,,,,,,,
817,49,8,,,,,,
818,49,33,,,,,,
819,49,4,15,,,,,
820,49,30,,,,,,
821,49,49,,,,,,
822,49,35,513,,,,,
823,49,,,,,,,
824,49,,,,,,,
825,49,3,,,,,,
826,49,35,,,,,,
827,49,30,404,,,,,
828,49,2,151,,,,,
829,49,13,59,,,,,
830,49,35,,,,,,
831,49,18,,,,,,
832,49,33,350,,,,,
833,49,10,,,,,,
834,49,,,,,,,
835,49,4,16,,,,,
836,49,42,,,,,,
837,49,29,,,,,,
838,49,27,118,,,,,
839,49,8,,,,,,
840,49,,,,,,,
841,49,,,,,,,
842,49,11,54,,,,,
843,49,37,212,,,,,
844,49,12,,,,,,
845,49,,,,,,,
846,49,4,12,,,,,
847,49,4,12,,,,,
848,49,13,,,,,,
849,49,10,,,,,,
850,49,2,,,,,,
851,49,8,32,,,,,
852,49,52,,,,,,
853,49,3,,,,,,
854,22,35,,,,,,
855,22,,,,,,,
856,22,17,,,,,,
857,22,64,,,,,,
858,22,2,,,,,,
859,22,30,,,,,,
860,22,,,,,,,
861,22,,,,,,,
862,22,2,349,,,,,
863,22,11,54,,,,,
864,22,18,,,,,,
865,22,5,,,,,,
866,22,11,54,,,,,
867,22,33,,,,,,
868,22,37,212,,,,,
869,22,29,128,,,,,
870,22,19,,,,,,
871,22,4,12,,,,,
872,22,,,,,,,
873,22,30,,,,,,
874,22,34,,,,,,
875,22,31,,,,,,
876,22,27,,,,,,
877,22,35,,,,,,
878,22,2,,,,,,
879,22,8,,,,,,
880,22,35,513,,,,,
881,22,37,213,,,,,
882,22,,,,,,,
883,22,17,83,,,,,
884,22,18,290,,,,,
885,22,2,153,,,,,
886,22,8,32,,,,,
887,22,35,195,,,,,
888,22,30,,,,,,
889,22,33,,,,,,
890,22,64,,,,,,
891,22,3,,,,,,
892,22,,,,,,,
893,22,15,,,,,,
894,22,4,15,,,,,
895,22,50,,,,,,
896,22,35,,,,,,
897,22,3,,,,,,
898,22,2,154,,,,,
899,22,64,,,,,,
900,22,17,,,,,,
901,22,33,,,,,,
902,22,31,,,,,,
903,22,52,,,,,,
904,22,8,32,,,,,
905,22,30,,,,,,
906,22,2,349,,,,,
907,22,18,290,,,,,
908,22,2,151,2433,,,,
909,22,,,,,,,
910,22,42,241,,,,,
911,22,10,,,,,,
912,22,4,12,,,,,
913,22,11,,,,,,
914,22,2,,,,,,
915,22,11,,,,,,
916,22,,,,,,,
917,22,33,,,,,,
918,22,29,132,,,,,
919,22,3,,,,,,
920,22,27,118,,,,,
921,26,10,,,,,,
922,26,8,,,,,,
923,26,29,126,,,,,
924,26,29,127,,,,,
925,26,10,,,,,,
926,26,,,,,,,
927,26,37,212,,,,,
928,26,,,,,,,
929,26,33,,,,,,
930,26,48,,,,,,
931,26,13,59,,,,,
932,26,52,,,,,,
933,26,2,151,3664,,,,
934,26,8,,,,,,
935,26,3,,,,,,
936,26,11,,,,,,
937,26,64,,,,,,
938,26,,,,,,,
939,26,64,,,,,,
940,26,2,,,,,,
941,26,8,,,,,,
942,26,64,,,,,,
943,26,31,,,,,,
944,26,3,8,,,,,
945,26,30,,,,,,
946,26,64,,,,,,
947,26,17,,,,,,
948,26,17,,,,,,
949,26,33,,,,,,
950,26,37,,,,,,
951,26,3,8,,,,,
952,26,5,,,,,,
953,26,18,,,,,,
954,26,10,,,,,,
955,26,11,54,,,,,
956,26,10,,,,,,
957,26,33,,,,,,
958,26,35,195,,,,,
959,26,,,,,,,
960,26,,,,,,,
961,26,2,,,,,,
962,26,8,,,,,,
963,26,34,,,,,,
964,26,33,,,,,,
965,26,,,,,,,
966,26,10,,,,,,
967,26,4,15,,,,,
968,26,49,,,,,,
969,26,11,,,,,,
970,26,27,117,,,,,
971,26,17,,,,,,
972,26,43,,,,,,
973,26,2,,,,,,
974,26,8,,,,,,
975,26,33,,,,,,
976,26,37,213,,,,,
977,26,3,,,,,,
978,26,4,12,,,,,
979,26,15,,,,,,
980,26,17,83,,,,,
981,26,18,,,,,,
982,26,18,,,,,,
983,26,10,,,,,,
984,26,10,,,,,,
985,26,5,,,,,,
986,26,52,,,,,,
987,26,32,172,,,,,
988,26,18,,,,,,
989,50,17,83,,,,,
990,50,27,117,,,,,
991,50,30,,,,,,
992,50,37,212,,,,,
993,50,13,59,,,,,
994,50,,,,,,,
995,50,18,,,,,,
996,50,37,213,,,,,
997,50,31,,,,,,
998,50,17,83,,,,,
999,50,29,126,,,,,
1000,50,4,12,,,,,
1001,50,11,54,,,,,
1002,50,35,,,,,,
1003,50,2,349,,,,,
1004,50,19,,,,,,
1005,50,10,,,,,,
1006,50,27,118,,,,,
1007,50,,,,,,,
1008,50,2,151,3665,,,,
1009,50,8,,,,,,
1010,50,64,,,,,,
1011,50,29,128,,,,,
1012,50,42,241,,,,,
1013,50,26,,,,,,
1014,50,4,16,,,,,
1015,50,12,,,,,,
1016,50,2,,,,,,
1017,50,35,,,,,,
1018,50,18,97,,,,,
1019,50,,,,,,,
1020,50,27,118,,,,,
1021,50,,,,,,,
1022,50,11,54,,,,,
1023,50,15,,,,,,
1024,50,,,,,,,
1025,50,,,,,,,
1026,50,2,,,,,,
1027,50,8,,,,,,
1028,50,35,,,,,,
1029,50,3,,,,,,
1030,50,,,,,,,
1031,50,17,,,,,,
1032,50,18,,,,,,
1033,50,18,,,,,,
1034,50,34,,,,,,
1035,50,4,15,,,,,
1036,50,,,,,,,
1037,50,2,151,3665,,,,
1038,50,29,126,,,,,
1039,50,43,244,,,,,
1040,50,29,127,,,,,
1041,50,2,,,,,,
1042,50,11,,,,,,
1043,50,,,,,,,
1044,50,19,,,,,,
1045,50,64,,,,,,
1046,50,3,,,,,,
1047,50,18,290,,,,,
1048,50,,,,,,,
1049,50,,,,,,,
1050,50,33,,,,,,
1051,50,8,32,,,,,
1052,50,64,,,,,,
1053,50,,,,,,,
1054,50,,,,,,,
1055,50,,,,,,,
1056,50,29,128,,,,,
1057,50,3,8,,,,,
1058,50,17,,,,,,
1059,50,,,,,,,
1060,50,,,,,,,
1061,50,,,,,,,
1062,50,,,,,,,
1063,50,27,117,,,,,
1064,50,11,,,,,,
1065,50,30,,,,,,
1066,51,3,,,,,,
1067,51,35,,,,,,
1068,51,3,,,,,,
1069,51,,,,,,,
1070,51,32,,,,,,
1071,51,,,,,,,
1072,51,10,,,,,,
1073,51,,,,,,,
1074,51,17,,,,,,
1075,51,19,,,,,,
1076,51,42,,,,,,
1077,51,18,290,,,,,
1078,51,,,,,,,
1079,51,3,,,,,,
1080,51,,,,,,,
1081,51,2,154,,,,,
